n_graphs; sys_matrix; graph_type; n_nodes; graph_param; input; edge_score; quantity_pair; metric; corr_coef_avg; corr_coef_std; metric; corr_coef_avg; corr_coef_std;
100; neg_laplacian; connected_ER; 20; 0.3; zfs_new; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.986; 0.0322; kendalltau; 0.936; 0.0484; 
100; neg_laplacian; connected_RG; 20; 0.4; zfs_new; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.972; 0.0629; kendalltau; 0.908; 0.0941; 
100; neg_laplacian; BA; 20; 3; zfs_new; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.978; 0.0314; kendalltau; 0.915; 0.0545; 
100; neg_laplacian; connected_ER; 20; 0.7; identity; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.997; 0.00399; kendalltau; 0.973; 0.0157; 
100; neg_laplacian; connected_RG; 20; 0.55; identity; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.902; 0.136; kendalltau; 0.796; 0.165; 
100; neg_laplacian; BA; 20; 8; identity; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.991; 0.00975; kendalltau; 0.944; 0.0264; 
100; neg_laplacian; connected_ER; 20; 0.7; zfs; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.995; 0.00607; kendalltau; 0.96; 0.0223; 
100; neg_laplacian; connected_RG; 20; 0.55; zfs; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.767; 0.247; kendalltau; 0.646; 0.245; 
100; neg_laplacian; BA; 20; 8; zfs; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.988; 0.0176; kendalltau; 0.934; 0.0347; 
100; neg_laplacian; connected_ER; 20; 0.7; zfs_transf; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.998; 0.00214; kendalltau; 0.974; 0.0129; 
100; neg_laplacian; connected_RG; 20; 0.55; zfs_transf; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.851; 0.194; kendalltau; 0.741; 0.211; 
100; neg_laplacian; BA; 20; 8; zfs_transf; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.998; 0.00169; kendalltau; 0.971; 0.00941; 
100; neg_laplacian; connected_ER; 20; 0.7; zfs_new; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.994; 0.0124; kendalltau; 0.96; 0.0285; 
100; neg_laplacian; connected_RG; 20; 0.55; zfs_new; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.77; 0.259; kendalltau; 0.653; 0.258; 
100; neg_laplacian; BA; 20; 8; zfs_new; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.991; 0.00925; kendalltau; 0.941; 0.0235; 
100; adjacency; connected_ER; 20; 0.5; all_ones; ETEC; ('sys_mat_spec_dist', 'ETEC'); spearmanr; 0.407; 0.231; kendalltau; 0.293; 0.182; 
100; adjacency; connected_RG; 20; 0.25; all_ones; ETEC; ('sys_mat_spec_dist', 'ETEC'); spearmanr; 0.991; 0.00999; kendalltau; 0.942; 0.0257; 
100; adjacency; BA; 20; 5; all_ones; ETEC; ('sys_mat_spec_dist', 'ETEC'); spearmanr; 0.612; 0.116; kendalltau; 0.46; 0.103; 
100; adjacency; connected_ER; 20; 0.3; all_ones; ETEC; ('sys_mat_spec_dist', 'ETEC'); spearmanr; 0.952; 0.0503; kendalltau; 0.851; 0.0788; 
100; adjacency; connected_RG; 20; 0.4; all_ones; ETEC; ('sys_mat_spec_dist', 'ETEC'); spearmanr; 0.969; 0.0251; kendalltau; 0.88; 0.0494; 
100; adjacency; BA; 20; 3; all_ones; ETEC; ('sys_mat_spec_dist', 'ETEC'); spearmanr; 0.945; 0.0265; kendalltau; 0.838; 0.0427; 
100; adjacency; connected_ER; 20; 0.7; all_ones; ETEC; ('sys_mat_spec_dist', 'ETEC'); spearmanr; 0.922; 0.0697; kendalltau; 0.802; 0.0942; 
100; adjacency; connected_RG; 20; 0.55; all_ones; ETEC; ('sys_mat_spec_dist', 'ETEC'); spearmanr; 0.943; 0.049; kendalltau; 0.833; 0.0737; 
100; adjacency; BA; 20; 8; all_ones; ETEC; ('sys_mat_spec_dist', 'ETEC'); spearmanr; 0.744; 0.083; kendalltau; 0.588; 0.0835; 
