n_graphs, sys_matrix, graph_type, n_nodes, graph_param, density_avg, density_std, input, edge_score, min_density_avg, min_density_std, max_density_avg, max_density_std, density_delta_from_avg, fractions_of_removals_in_randomly_flipped_edges, quantity_pair_in_quotations, metric_1, corr_coef_avg_1, corr_coef_std_1, metric_2, corr_coef_avg_2, corr_coef_std_2
100, adjacency, connected_RG, 20, 0.25, 0.182, 0.0273, zfs_transf, random, 0.182, 0.0273, 0.914, 0.0115, 0.732,  0, " ('sys_mat_spec_dist', 'density')", $\rho_S$, 0.982, 0.0107, $\tau_K$, 0.91, 0.0318, $\rho_P$, 0.954, 0.0154, " ('sys_mat_spec_dist', 'Wc_spec_dist')", $\rho_S$, 0.981, 0.0109, $\tau_K$, 0.901, 0.0314, $\rho_P$, 0.412, 0.0546, " ('density', 'Wc_spec_dist')", $\rho_S$, 0.999, 0.000343, $\tau_K$, 0.986, 0.00342, $\rho_P$, 0.474, 0.0469, 
100, adjacency, BA, 20, 3, 0.289, 1.11e-16, zfs_transf, random, 0.289, 1.11e-16, 0.934, 0.00974, 0.644,  0, " ('sys_mat_spec_dist', 'density')", $\rho_S$, 0.994, 0.00235, $\tau_K$, 0.948, 0.0113, $\rho_P$, 0.982, 0.0053, " ('sys_mat_spec_dist', 'Wc_spec_dist')", $\rho_S$, 0.993, 0.00286, $\tau_K$, 0.94, 0.0124, $\rho_P$, 0.609, 0.054, " ('density', 'Wc_spec_dist')", $\rho_S$, 0.999, 0.000303, $\tau_K$, 0.985, 0.00325, $\rho_P$, 0.499, 0.0465, 
100, adjacency, connected_ER, 20, 0.3, 0.297, 0.0291, zfs_new, random, 0.297, 0.0291, 0.927, 0.0115, 0.631,  0, " ('sys_mat_spec_dist', 'density')", $\rho_S$, 0.996, 0.00175, $\tau_K$, 0.958, 0.00993, $\rho_P$, 0.985, 0.00617, " ('sys_mat_spec_dist', 'Wc_spec_dist')", $\rho_S$, 0.995, 0.00178, $\tau_K$, 0.953, 0.00983, $\rho_P$, 0.609, 0.0586, " ('density', 'Wc_spec_dist')", $\rho_S$, 0.999, 0.00026, $\tau_K$, 0.987, 0.00299, $\rho_P$, 0.503, 0.0441, 
100, adjacency, connected_RG, 20, 0.25, 0.182, 0.0273, zfs_new, random, 0.182, 0.0273, 0.915, 0.0114, 0.733,  0, " ('sys_mat_spec_dist', 'density')", $\rho_S$, 0.983, 0.0106, $\tau_K$, 0.913, 0.0306, $\rho_P$, 0.955, 0.0143, " ('sys_mat_spec_dist', 'Wc_spec_dist')", $\rho_S$, 0.982, 0.0107, $\tau_K$, 0.904, 0.0302, $\rho_P$, 0.412, 0.0565, " ('density', 'Wc_spec_dist')", $\rho_S$, 0.999, 0.000377, $\tau_K$, 0.985, 0.00355, $\rho_P$, 0.472, 0.0505, 
100, adjacency, BA, 20, 3, 0.289, 1.11e-16, zfs_new, random, 0.289, 1.11e-16, 0.933, 0.00827, 0.644,  0, " ('sys_mat_spec_dist', 'density')", $\rho_S$, 0.994, 0.0025, $\tau_K$, 0.947, 0.0118, $\rho_P$, 0.982, 0.00484, " ('sys_mat_spec_dist', 'Wc_spec_dist')", $\rho_S$, 0.992, 0.0029, $\tau_K$, 0.938, 0.013, $\rho_P$, 0.605, 0.056, " ('density', 'Wc_spec_dist')", $\rho_S$, 0.999, 0.000301, $\tau_K$, 0.983, 0.00301, $\rho_P$, 0.497, 0.049, 
100, neg_laplacian, connected_ER, 20, 0.3, 0.297, 0.0291, identity, random, 0.297, 0.0291, 0.926, 0.012, 0.629,  0, " ('sys_mat_spec_dist', 'density')", $\rho_S$, 1, 3.61e-05, $\tau_K$, 0.996, 0.000622, $\rho_P$, 1, 8.95e-17, " ('sys_mat_spec_dist', 'Wc_spec_dist')", $\rho_S$, 0.999, 0.000472, $\tau_K$, 0.981, 0.00466, $\rho_P$, 0.936, 0.0152, " ('density', 'Wc_spec_dist')", $\rho_S$, 0.999, 0.000446, $\tau_K$, 0.984, 0.00417, $\rho_P$, 0.936, 0.0152, 
100, neg_laplacian, connected_RG, 20, 0.25, 0.182, 0.0273, identity, random, 0.182, 0.0273, 0.913, 0.0118, 0.731,  0, " ('sys_mat_spec_dist', 'density')", $\rho_S$, 1, 3.5e-05, $\tau_K$, 0.997, 0.000636, $\rho_P$, 1, 1.06e-16, " ('sys_mat_spec_dist', 'Wc_spec_dist')", $\rho_S$, 0.999, 0.000368, $\tau_K$, 0.982, 0.00386, $\rho_P$, 0.857, 0.0188, " ('density', 'Wc_spec_dist')", $\rho_S$, 0.999, 0.000333, $\tau_K$, 0.985, 0.00327, $\rho_P$, 0.857, 0.0188, 
100, neg_laplacian, BA, 20, 3, 0.289, 1.11e-16, identity, random, 0.289, 1.11e-16, 0.933, 0.0101, 0.643,  0, " ('sys_mat_spec_dist', 'density')", $\rho_S$, 1, 3.68e-05, $\tau_K$, 0.996, 0.000678, $\rho_P$, 1, 8.16e-17, " ('sys_mat_spec_dist', 'Wc_spec_dist')", $\rho_S$, 0.999, 0.000287, $\tau_K$, 0.981, 0.00308, $\rho_P$, 0.927, 0.00751, " ('density', 'Wc_spec_dist')", $\rho_S$, 0.999, 0.000264, $\tau_K$, 0.985, 0.00282, $\rho_P$, 0.927, 0.00751, 
100, neg_laplacian, connected_ER, 20, 0.3, 0.297, 0.0291, zfs, random, 0.297, 0.0291, 0.926, 0.0125, 0.629,  0, " ('sys_mat_spec_dist', 'density')", $\rho_S$, 1, 3.86e-05, $\tau_K$, 0.996, 0.000672, $\rho_P$, 1, 8.74e-17, " ('sys_mat_spec_dist', 'Wc_spec_dist')", $\rho_S$, 0.993, 0.00224, $\tau_K$, 0.937, 0.011, $\rho_P$, 0.92, 0.0264, " ('density', 'Wc_spec_dist')", $\rho_S$, 0.993, 0.0022, $\tau_K$, 0.941, 0.0109, $\rho_P$, 0.92, 0.0264, 
100, neg_laplacian, connected_RG, 20, 0.25, 0.182, 0.0273, zfs, random, 0.182, 0.0273, 0.913, 0.0118, 0.731,  0, " ('sys_mat_spec_dist', 'density')", $\rho_S$, 1, 3.1e-05, $\tau_K$, 0.997, 0.000601, $\rho_P$, 1, 1.06e-16, " ('sys_mat_spec_dist', 'Wc_spec_dist')", $\rho_S$, 0.992, 0.00268, $\tau_K$, 0.932, 0.0125, $\rho_P$, 0.838, 0.0211, " ('density', 'Wc_spec_dist')", $\rho_S$, 0.992, 0.0027, $\tau_K$, 0.934, 0.0125, $\rho_P$, 0.838, 0.0211, 
