n_graphs, sys_matrix, graph_type, n_nodes, graph_param, density_avg, density_std, input, edge_score, quantity_pair_in_quotations, metric_1, corr_coef_avg_1, corr_coef_std_1, metric_2, corr_coef_avg_2, corr_coef_std_2
100, neg_laplacian, BA, 20, 8, 0.653, 2.22E-16, zfs, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.988, 0.0164, kendalltau, 0.935, 0.0328, 
100, neg_laplacian, connected_ER, 20, 0.7, 0.698, 0.0325, zfs_transf, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.997, 0.00456, kendalltau, 0.973, 0.0168, 
100, neg_laplacian, connected_RG, 20, 0.75, 0.79, 0.0612, zfs_transf, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.999, 0.00331, kendalltau, 0.985, 0.0156, 
100, neg_laplacian, BA, 20, 8, 0.653, 2.22E-16, zfs_transf, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.998, 0.00131, kendalltau, 0.973, 0.00748, 
100, neg_laplacian, connected_ER, 20, 0.7, 0.698, 0.0325, zfs_new, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.995, 0.00863, kendalltau, 0.961, 0.0226, 
100, neg_laplacian, connected_RG, 20, 0.75, 0.79, 0.0612, zfs_new, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.998, 0.00327, kendalltau, 0.983, 0.0159, 
100, neg_laplacian, BA, 20, 8, 0.653, 2.22E-16, zfs_new, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.989, 0.0136, kendalltau, 0.938, 0.0298, 
100, adjacency, connected_ER, 20, 0.3, 0.297, 0.0291, all_ones, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.978, 0.0216, kendalltau, 0.893, 0.044, 
100, adjacency, connected_RG, 20, 0.25, 0.182, 0.0273, all_ones, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.974, 0.0196, kendalltau, 0.89, 0.043, 
100, adjacency, BA, 20, 3, 0.289, 1.11E-16, all_ones, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.975, 0.0194, kendalltau, 0.883, 0.0395, 
100, adjacency, connected_ER, 20, 0.3, 0.297, 0.0291, identity, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.977, 0.0197, kendalltau, 0.891, 0.0458, 
100, adjacency, connected_RG, 20, 0.25, 0.182, 0.0273, identity, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.976, 0.0235, kendalltau, 0.896, 0.0501, 
100, adjacency, BA, 20, 3, 0.289, 1.11E-16, identity, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.976, 0.0141, kendalltau, 0.884, 0.0327, 
100, adjacency, connected_ER, 20, 0.3, 0.297, 0.0291, zfs, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.976, 0.0258, kendalltau, 0.889, 0.0504, 
100, adjacency, connected_RG, 20, 0.25, 0.182, 0.0273, zfs, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.974, 0.0271, kendalltau, 0.891, 0.0534, 
100, adjacency, BA, 20, 3, 0.289, 1.11E-16, zfs, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.976, 0.0171, kendalltau, 0.882, 0.0377, 
100, adjacency, connected_ER, 20, 0.3, 0.297, 0.0291, zfs_transf, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.976, 0.0209, kendalltau, 0.888, 0.0464, 
100, adjacency, connected_RG, 20, 0.25, 0.182, 0.0273, zfs_transf, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.973, 0.028, kendalltau, 0.89, 0.0537, 
100, adjacency, BA, 20, 3, 0.289, 1.11E-16, zfs_transf, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.976, 0.0163, kendalltau, 0.884, 0.0351, 
100, adjacency, connected_ER, 20, 0.3, 0.297, 0.0291, zfs_new, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.978, 0.018, kendalltau, 0.893, 0.042, 
100, adjacency, connected_RG, 20, 0.25, 0.182, 0.0273, zfs_new, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.976, 0.0263, kendalltau, 0.896, 0.0499, 
100, adjacency, BA, 20, 3, 0.289, 1.11E-16, zfs_new, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.973, 0.0236, kendalltau, 0.879, 0.0408, 
100, adjacency, connected_ER, 20, 0.5, 0.503, 0.0317, all_ones, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.472, 0.246, kendalltau, 0.34, 0.188, 
100, adjacency, connected_RG, 20, 0.5, 0.469, 0.0669, all_ones, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.62, 0.26, kendalltau, 0.47, 0.216, 
100, adjacency, BA, 20, 5, 0.447, 0, all_ones, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.632, 0.21, kendalltau, 0.464, 0.166, 
100, adjacency, connected_ER, 20, 0.5, 0.503, 0.0317, identity, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.495, 0.255, kendalltau, 0.36, 0.195, 
100, adjacency, connected_RG, 20, 0.5, 0.469, 0.0669, identity, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.588, 0.295, kendalltau, 0.446, 0.235, 
100, adjacency, BA, 20, 5, 0.447, 0, identity, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.604, 0.244, kendalltau, 0.445, 0.19, 
100, adjacency, connected_ER, 20, 0.5, 0.503, 0.0317, zfs, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.522, 0.247, kendalltau, 0.379, 0.192, 
100, adjacency, connected_RG, 20, 0.5, 0.469, 0.0669, zfs, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.613, 0.283, kendalltau, 0.467, 0.228, 
100, adjacency, BA, 20, 5, 0.447, 0, zfs, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.598, 0.211, kendalltau, 0.437, 0.169, 
100, adjacency, connected_ER, 20, 0.5, 0.503, 0.0317, zfs_transf, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.483, 0.264, kendalltau, 0.351, 0.202, 
100, adjacency, connected_RG, 20, 0.5, 0.469, 0.0669, zfs_transf, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.618, 0.294, kendalltau, 0.469, 0.236, 
100, adjacency, BA, 20, 5, 0.447, 0, zfs_transf, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.616, 0.202, kendalltau, 0.451, 0.16, 
100, adjacency, connected_ER, 20, 0.5, 0.503, 0.0317, zfs_new, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.48, 0.24, kendalltau, 0.348, 0.183, 
